,BlockHeight,uluna_burnt,uusd_minted,spread,delta,lunaPool,terra_pool,usd_per_luna_price,usd_per_ust_price
187,7594529.0,94851.0,94999.33981850074,0.05,5728952.491964769,44859985.48708519,55728952.49196477,1.054277815437961,0.7499724029209623
188,7594530.0,94851.0,94999.33981850074,0.05,5607034.630985757,44958340.551519565,55607034.63098576,1.054277815437961,0.7557036115731058
189,7594531.0,94556.0,94703.87846072424,0.05,5861332.99781294,44753676.03737417,55861332.99781294,1.0575652827771858,0.7624378160644688
190,7594532.0,93575.0,94013.5877690814,0.05,5698578.6554270005,44884448.76602631,55698578.655427,1.068651870153191,0.6836917242213779
191,7594533.0,93575.0,94999.14381210561,0.05,5572426.8233303325,44986338.42188899,55572426.823330335,1.068651870153191,0.6836917242213779
192,7594534.0,93575.0,94999.14381210561,0.05,5481721.904098324,45059884.84498225,55481721.904098324,1.068651870153191,0.7416646091815831
193,7594535.0,93575.0,94999.14381210561,0.05,5518389.936223607,45030124.30425052,55518389.936223604,1.068651870153191,0.766671359879473
194,7594536.0,93624.0,95048.88955666125,0.05,5397552.25519603,45128347.70177976,55397552.25519603,1.0680924641385576,0.7655011897412971
195,7594537.0,93938.0,95317.74640143542,0.05,5470287.054408765,45069173.6559402,55470287.05440877,1.0645318948700226,0.7625554211449376
196,7594538.0,93938.0,94999.99728328519,0.05,5354823.383328117,45163182.66770869,55354823.38332812,1.0645318948700226,0.7607212261364792
197,7594539.0,93938.0,94999.99728328519,0.05,5639113.212543146,44932419.94080535,55639113.212543145,1.0645318948700226,0.7709685743017426
198,7594540.0,93938.0,94999.99728328519,0.05,5630006.963253483,44939775.0687211,55630006.96325348,1.0645318948700226,0.7659625085075125
199,7594541.0,93656.0,94714.80918864951,0.05,5476000.322664188,45064532.14830358,55476000.32266419,1.0677326935522609,0.7657958547672624
200,7594542.0,94650.0,96007.85447248541,0.05,5323889.202590183,45188435.52096033,55323889.20259018,1.0565237607094848,0.7571584057520891
